ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2001;1;Procesamiento y conservacion de carne, pescado,y sus productos;24,3;43,8;25,6;46;68,9;100,1;60
1010;2001;2;Procesamiento y conservacion de carne, pescado,y sus productos;20,9;37,7;23,3;41,8;69,9;101,3;61,8
1010;2001;3;Procesamiento y conservacion de carne, pescado,y sus productos;24,3;42,7;27,4;47,9;68,8;96,7;61,5
1010;2001;4;Procesamiento y conservacion de carne, pescado,y sus productos;23,2;39,1;25,1;42,3;70,2;99,4;62,7
1010;2001;5;Procesamiento y conservacion de carne, pescado,y sus productos;26,2;43,7;29,8;49,4;69,3;97;62,2
1010;2001;6;Procesamiento y conservacion de carne, pescado,y sus productos;24;39,5;28,5;46,8;68,1;102,4;59,7
1010;2001;7;Procesamiento y conservacion de carne, pescado,y sus productos;25,7;42,4;25,9;42,7;68,3;99,8;60,2
1010;2001;8;Procesamiento y conservacion de carne, pescado,y sus productos;27,6;45,4;29,3;48,1;69,8;102,4;61,6
1010;2001;9;Procesamiento y conservacion de carne, pescado,y sus productos;25,2;41,8;28,2;46,7;70,1;99,1;62,7
1010;2001;10;Procesamiento y conservacion de carne, pescado,y sus productos;28,5;48,3;29,4;49,8;70,6;99,7;63
1010;2001;11;Procesamiento y conservacion de carne, pescado,y sus productos;28;48,2;30,4;52,3;72,3;101,3;64,9
1010;2001;12;Procesamiento y conservacion de carne, pescado,y sus productos;29,6;50,3;33,8;57,5;73,6;102,7;66
1010;2002;1;Procesamiento y conservacion de carne, pescado,y sus productos;26,4;43,8;31;51,3;73,7;102,8;66,2
1010;2002;2;Procesamiento y conservacion de carne, pescado,y sus productos;24,1;39,9;25,8;42,8;74,9;104,2;67,3
1010;2002;3;Procesamiento y conservacion de carne, pescado,y sus productos;24,7;40,7;28,7;47,3;71,1;101,4;63,2
1010;2002;4;Procesamiento y conservacion de carne, pescado,y sus productos;28,8;47,4;31,6;51,9;74,9;105,6;67,1
1010;2002;5;Procesamiento y conservacion de carne, pescado,y sus productos;26,9;44,5;31,8;52,4;73,3;101,8;66
1010;2002;6;Procesamiento y conservacion de carne, pescado,y sus productos;28,7;47,5;33,3;55;75,1;106,2;67,4
1010;2002;7;Procesamiento y conservacion de carne, pescado,y sus productos;27,5;45,3;32,7;53,6;74,3;104,2;66,6
1010;2002;8;Procesamiento y conservacion de carne, pescado,y sus productos;30,3;49,5;35,9;58,5;74,1;106,4;66
1010;2002;9;Procesamiento y conservacion de carne, pescado,y sus productos;28,5;46,5;33,1;54;73,7;103,3;66,2
1010;2002;10;Procesamiento y conservacion de carne, pescado,y sus productos;31,6;51,2;35,9;58,1;74,6;103,1;67,2
1010;2002;11;Procesamiento y conservacion de carne, pescado,y sus productos;31,8;52,4;38,1;62,2;76,2;104,3;69
1010;2002;12;Procesamiento y conservacion de carne, pescado,y sus productos;37,5;60,6;42,4;69,2;76,1;106,7;68,1
1010;2003;1;Procesamiento y conservacion de carne, pescado,y sus productos;31,8;50;35,5;55,8;75,3;106,7;67,2
1010;2003;2;Procesamiento y conservacion de carne, pescado,y sus productos;29,7;46,4;35,8;55,4;75,6;107,4;67,3
1010;2003;3;Procesamiento y conservacion de carne, pescado,y sus productos;31,5;49,3;36,5;57;76,2;104,9;68,7
1010;2003;4;Procesamiento y conservacion de carne, pescado,y sus productos;29,3;45,8;34,9;54,2;74,9;107,3;66,6
1010;2003;5;Procesamiento y conservacion de carne, pescado,y sus productos;34,6;53,6;38,5;59,8;74,8;104,5;67,2
1010;2003;6;Procesamiento y conservacion de carne, pescado,y sus productos;32,9;51,3;37,6;58,5;76,7;110,1;68,4
1010;2003;7;Procesamiento y conservacion de carne, pescado,y sus productos;35,7;56,2;40,4;63,4;75,5;105,7;67,7
1010;2003;8;Procesamiento y conservacion de carne, pescado,y sus productos;35,9;56,2;40,6;63,3;77,3;108,3;69,5
1010;2003;9;Procesamiento y conservacion de carne, pescado,y sus productos;37,2;58,9;41,5;65,6;77,7;106,7;70,3
1010;2003;10;Procesamiento y conservacion de carne, pescado,y sus productos;38,8;61,9;44;70;77,3;104,1;70,3
1010;2003;11;Procesamiento y conservacion de carne, pescado,y sus productos;36,8;59,2;40,5;64,9;79,6;105,6;73
1010;2003;12;Procesamiento y conservacion de carne, pescado,y sus productos;40,7;64,9;47,6;76;77,6;110,8;69
1010;2004;1;Procesamiento y conservacion de carne, pescado,y sus productos;34,6;53,5;38,3;59;71,9;87,2;67,9
1010;2004;2;Procesamiento y conservacion de carne, pescado,y sus productos;32,4;50;37,7;58,1;71,3;85,5;67,5
