Encuesta Mensual de Comercio al por Menor y Vehículos - EMCM;;;;;;;;;;;;;;;;;;
1.1 Índices empalmados de las ventas en valores nominales de la EMCM según grupo de mercancía - Total nacional;;;;;;;;;;;;;;;;;;
Base 2013 = 100;;;;;;;;;;;;;;;;;;
Enero 2003 - Junio 2019*;;;;;;;;;;;;;;;;;;
Fuente: DANE - EMCM;;;;;;;;;;;;;;;;;;
p:preliminar;;;;;;;;;;;;;;;;;;
Las series de ventas empalmadas corresponden al total sin combustibles y sin combustibles ni vehículos, debido a que son los datos comparables históricamente, porque anteriormente no se publicaba información sobre combustibles. La serie  de ventas se empalma por el método de retropolación manteniendo las tasas de variación anuales.;;;;;;;;;;;;;;;;;;
"* Como parte del proceso de producción estadística el DANE realiza análisis y actualización continua de la información en cada una de las fases del proceso; como consecuencia de este proceso se presentan cambios en la serie histórica por actualización de la información recibida de parte de las fuentes informantes. ";;;;;;;;;;;;;;;;;;
Actualizado el 14 de agosto de 2019;;;;;;;;;;;;;;;;;;
Año;Mes;Total Comercio Minorista sin Combustibles;Total Comercio Minorista sin Combustibles ni Vehículos;Alimentos (víveres en general) y bebidas no alcohólicas; Bebidas alcohólicas, cigarros, cigarrillos y productos del tabaco;Prendas de vestir y textiles ;Calzado, artículos de cuero y sucedáneos del cuero;Productos farmacéuticos y medicinales;Productos de aseo personal, cosméticos y perfumería;Electrodomésticos, muebles para el hogar;Artículos y utensilios de uso doméstico;Productos para el aseo del hogar;Equipo de informática y telecomunicaciones para uso personal o doméstico;Libros, papelería, periódicos, revistas y útiles escolares;Artículos de ferretería y pinturas;Repuestos, partes, accesorios y lubricantes para vehículos;Vehículos automotores y motocicletas; Otras mercancías para uso personal o doméstico, no especificadas anteriormente
2003;ene-03;37,1;39,9;44,3;32,4;40,9;28,8;51,2;37,4;19,9;43,3;39,4;8,6;124;28,6;44,2;21,6;25,2
2003;feb-03;36,6;38,3;44,9;28,4;35,1;25,1;44,6;34,3;18,3;37,1;37,3;9,9;131,5;26;39;24,9;23,4
2003;mar-03;39,1;41,1;51,5;34,9;38,2;26,5;50,9;40;21,5;39,8;42,5;12,5;62,2;25;40,5;26,2;24,9
2003;abr-03;40,5;43,1;50,1;37,3;44,9;27,4;51,2;41,5;26,9;45,8;40;10,8;46,5;27,9;41,2;22,5;26,3
2003;may-03;41,7;43,7;50,8;37,7;47;31,4;53,3;41,1;28;42,5;41,8;10,3;52,3;26,6;43,7;28,7;29,2
2003;jun-03;40,1;42,9;50;38,1;52,6;34;52,1;40,1;23,6;42,7;41;11,1;41,2;27,9;40,4;23,5;27,3
2003;jul-03;43,4;45,5;50,8;35,3;52,4;33,4;57,4;42,8;30,4;47,4;43,7;11,6;63;33,2;49,2;29,6;28,8
2003;ago-03;42,2;44,9;51,6;36,6;48,7;32;52,9;42,7;27,3;43,9;43,9;12,6;80,4;33,1;44;25,5;26,8
2003;sep-03;40,7;42,2;48,4;34,4;45,4;29,7;49,6;38,9;27,9;40,8;40,9;11,9;71;32,3;45,5;30,3;28,2
2003;oct-03;43;44,8;50,4;35,3;48,2;31,5;55,4;44,8;29,6;49,3;43,8;13;47,2;33,4;47,5;30,8;31,5
2003;nov-03;43,7;45,6;50,2;42,5;54,4;33,3;52,9;39,4;27,2;49;42,9;12,6;48;33,9;45,8;30,2;40,1
2003;dic-03;64,3;69,2;65;107,1;143,7;95,9;59,5;56,2;42;81,9;53,5;20,7;56,7;38,6;50,8;36,6;66,9
